Region,2016 / Q2,2016 / Q3,2016 / Q4,2017 / Q1,2017 / Q2,2017 / Q3,2017 / Q4,2018 / Q1,2018 / Q2,2019 / Q1,2019 / Q2,2019 / Q3,2019 / Q4,2020 / Q1,2020 / Q2,2020 / Q3,2020 / Q4,2021 / Q1,2021 / Q2,2021 / Q3,2021 / Q4,2022 / Q1,2022 / Q2,2022 / Q3,2022 / Q4,Unnamed: 26,Unnamed: 27
Riyadh,9.336607653,11.94957986,11.14726694,11.62599298,12.7579236,11.99458383,14.73785383,13.92392537,13.36086305,11.59463103,10.13748661,12.77991261,12.08530084,14.29470429,12.19093639,13.9180083,10.51242516,10.36448976,9.233770266,9.179867978,8.716703818,7.999102525,7.45602599,7.523863298,6.661840521,2023 / Q1,2023 / Q2
Makkah,14.68263494,11.16730204,10.6246285,10.50591265,10.05820184,10.54984554,9.233711736,9.445294106,10.56650435,9.874112788,12.61492042,11.04230306,12.07510968,11.45066956,15.45113665,13.64740976,12.37274509,12.75613936,11.44614066,11.78259786,11.64921928,10.58867151,10.75150469,10.14600569,7.036279125,6.794119392,6.573059205
Madinah,14.48715019,18.78481276,18.98747249,21.2237179,22.2011293,23.75602594,23.13259068,19.83522239,17.43230978,16.19573178,18.03360056,14.14778822,18.64046075,17.59897555,11.90131774,20.41328047,19.4266222,13.16722609,14.7863201,16.21035154,15.30220263,13.61184362,11.39827856,14.38473442,12.20672989,8.18652716,8.830253118
Qaseem,7.99002575,11.49957324,10.87204613,12.62052254,15.7531483,16.21834788,15.13460623,12.65760983,19.34525858,7.94116405,5.072129963,6.519466651,4.90993745,5.186202529,21.0302425,19.49628654,9.656321685,12.76296047,9.281562896,10.90273797,10.97874589,11.05557892,10.46062764,9.860976666,7.985047651,11.87505902,10.85252043
Eastern Region,11.17817266,9.836043097,10.46371165,11.44276403,9.785834189,6.568157666,6.059753978,7.802359801,6.61494728,8.870452749,10.4262372,9.322079728,8.537878927,6.115489012,11.73712449,12.00123664,13.24270837,10.13000588,11.05169004,8.582070586,9.570292627,8.074473634,7.55885276,8.096533562,6.851791381,9.067748711,10.72258374
Aseer,7.005615863,11.36705412,7.943268119,7.961672363,8.08430894,9.511425517,9.371047463,14.94099853,14.18761192,17.83837076,11.38009169,13.04568316,13.72202893,16.51854576,16.89448893,16.85055381,15.68674612,10.66383004,11.39793859,13.60789926,12.33316182,11.43004449,11.21914308,11.92217742,10.39771754,7.079645326,6.373533707
Tabouk,16.22858172,15.60593782,20.4245912,16.55185368,16.07129352,16.69482346,16.19126695,15.7347942,14.45519595,6.740136016,4.787036041,4.565785699,6.832706876,5.775175129,26.76335872,19.8830092,12.33961843,17.17749296,14.90140741,15.69725803,14.98768222,13.1789105,11.88641198,10.15915099,8.270629373,9.546693673,9.283222666
Hail,11.69303577,10.851635,16.08974636,16.81843153,12.91001482,14.26113097,17.02473638,13.99821242,16.22322924,9.14205898,10.38007413,7.940250631,8.10922711,6.265280976,22.73534934,18.04896185,11.67224758,12.04640759,8.720115914,13.2681788,12.64863011,11.87550253,10.97463868,14.56287069,10.79554699,9.127781181,7.856832755
Northern Region,20.24685608,15.49540385,17.96430721,18.79815295,20.01120121,16.3649128,19.00537034,22.95785761,22.87945595,16.90984112,10.67594411,10.70541533,6.589918769,5.472616083,21.14726629,16.53407196,13.06848354,8.375138169,12.08843808,12.84361992,12.30277044,11.54484239,13.21887537,12.26317381,7.772523937,10.48780967,9.279459289
Jazan,9.758367571,13.21361965,20.42536162,17.50097323,18.23232245,19.09546767,19.38394779,18.64884687,18.02142879,24.34558544,20.85583659,22.55563334,15.20974687,11.65010254,20.06830475,16.37736866,12.04404033,13.43744173,16.80853538,13.04683025,12.20744661,12.26217191,12.53808657,14.27093476,11.04363121,11.72650054,10.83615525
Najran,7.721729832,11.11785446,9.714542827,10.03297306,10.23121084,8.842534478,7.374201312,6.962826954,5.834818247,16.91120458,14.58809571,5.83588625,10.27559236,10.12243636,22.72245117,12.61800735,11.10819654,9.419710896,10.42239593,11.2523787,9.068040787,9.080568104,8.355287448,5.817233025,7.866217453,11.30281682,11.93644316
Al-Baha,11.51826244,16.16874787,17.24612412,16.97911304,12.79697747,25.67298016,17.80503731,14.79994833,12.70553356,17.59076084,18.13807816,16.73540212,19.77540586,14.93477636,24.47140304,13.89457421,20.78348833,10.50406106,8.059464467,11.13564244,12.26643019,10.20494416,14.89360233,14.58986343,9.245998461,7.769915741,6.742298411
Al-Jouf,15.33635728,13.8277191,13.62560384,22.58966139,26.83136264,23.60490683,24.54107676,27.3327578,28.7573081,27.53055305,36.02571073,32.33888295,28.79170146,32.2769481,17.60282231,14.22719825,7.420787819,15.51582816,15.9949727,15.75490373,16.49912587,15.33261857,11.37355899,11.86303161,9.025290435,12.13444727,13.22700054
Grand Total,11.62112028,12.13893151,12.34717389,12.65066977,12.82047219,12.82013873,12.83452267,12.90355658,12.94435191,12.52059972,12.30267808,12.029444,12.01787312,11.7829026,15.44731891,14.91914013,12.62622065,11.6518481,11.27598801,11.25608805,11.03809073,10.05171535,9.665924488,9.89613801,7.953144463,12.88069335,8.428194326
,,,,,,,,,,,,,,,,,,,,,,,,,,8.455818834,8.298282328
